[run number],replace-exited-firm?,allow-firm-exit?,n-firms,transactions-per-month,n-households,setup-structure,use-index?,[reporter],[final],[min],[max] ,[mean] bankrupt,[steps],,,,[mean] employed?,,,,,price,,profits,,,,
1,TRUE,TRUE,40,1,1000,single-firm,TRUE,count firms with [color = yellow],0,0,2,0.15920398,200,996,914,999,980.6766169,200,0.652257105,0.645726402,0.731920879,0.686094455,200,-108.6463119,-109.8982388,-89.75257549,-100.9281619,200
2,TRUE,TRUE,60,1,1000,single-firm,TRUE,count firms with [color = yellow],1,0,5,1.39800995,200,982,949,993,975.5671642,200,0.692605791,0.64239384,0.719991707,0.687568459,200,-149.8216454,-149.839803,-90.33904225,-131.0101764,200
3,TRUE,TRUE,80,1,1000,single-firm,TRUE,count firms with [color = yellow],4,0,10,2.661691542,200,972,935,989,965.6517413,200,0.698247176,0.65645428,0.727133124,0.692684672,200,-146.9986624,-149.2062482,-102.8628814,-136.4935009,200
4,TRUE,TRUE,100,1,1000,single-firm,TRUE,count firms with [color = yellow],4,1,13,6.323383085,200,963,921,985,959.0945274,200,0.691045059,0.659267297,0.749547859,0.700526248,200,-130.4179238,-130.4179238,-76.23940237,-108.3016482,200
5,TRUE,TRUE,120,1,1000,single-firm,TRUE,count firms with [color = yellow],9,4,19,10.48258706,200,942,899,980,953.8557214,200,0.699896513,0.656493314,0.766266297,0.701795223,200,-118.5623297,-118.586463,-74.31116014,-101.4534919,200
6,TRUE,TRUE,140,1,1000,single-firm,TRUE,count firms with [color = yellow],12,7,25,14.19402985,200,968,899,980,945.4676617,200,0.675662475,0.656583876,0.765103073,0.710108359,200,-100.9585742,-100.9782752,-57.2306851,-79.99298545,200
7,TRUE,TRUE,160,1,1000,single-firm,TRUE,count firms with [color = yellow],28,9,30,18.75621891,200,964,844,976,938.3134328,200,0.664243313,0.653465344,0.794037915,0.713175725,200,-102.8853046,-102.8853046,-60.60516201,-85.59326648,200
8,TRUE,TRUE,180,1,1000,single-firm,TRUE,count firms with [color = yellow],33,11,42,23.21890547,200,954,862,968,925.2487562,200,0.682295753,0.671918665,0.806994576,0.726830372,200,-80.8030785,-80.8030785,-47.17019897,-63.87721562,200
9,TRUE,TRUE,200,1,1000,single-firm,TRUE,count firms with [color = yellow],28,15,40,28.58208955,200,902,794,965,922.0746269,200,0.751387489,0.657134144,0.808055409,0.723853928,200,-79.74822923,-79.74822923,-40.62704447,-60.97603443,200
10,TRUE,TRUE,220,1,1000,single-firm,TRUE,count firms with [color = yellow],45,21,49,36.96517413,200,797,761,963,900.2587065,200,0.864878399,0.657816937,0.864878399,0.744333659,200,-74.92154838,-74.92154838,-36.06022481,-55.82891714,200
11,TRUE,TRUE,240,1,1000,single-firm,TRUE,count firms with [color = yellow],46,27,65,43.86567164,200,941,548,966,856.3333333,200,0.688571846,0.640295118,0.914563086,0.756746823,200,-45.96249196,-45.96249196,-18.50086708,-32.8097226,200
12,TRUE,TRUE,260,1,1000,single-firm,TRUE,count firms with [color = yellow],238,30,238,170.5223881,200,242,108,948,372.6666667,200,0.919997441,0.672416932,1.091648323,0.94275239,200,-22.15689874,-40.63569883,-22.15689874,-32.21492618,200
13,TRUE,TRUE,280,1,1000,single-firm,TRUE,count firms with [color = yellow],267,250,267,263.2189055,200,230,136,239,187.0895522,200,0.93499472,0.93206826,1.073861159,1.0045098,200,11.02600686,-7.788549841,11.02600686,3.443467999,200
14,TRUE,TRUE,300,1,1000,single-firm,TRUE,count firms with [color = yellow],290,265,290,283.039801,200,198,133,211,169.5621891,200,1.013742707,1.012803518,1.097209663,1.059877474,200,16.90164224,-6.007788475,16.90164224,7.180283234,200
15,TRUE,TRUE,320,1,1000,single-firm,TRUE,count firms with [color = yellow],302,60,302,256.840796,200,161,93,905,232.7164179,200,1.092615356,0.714679592,1.154232363,1.083948184,200,0.533390635,-19.99716517,0.533390635,-9.933941461,200
16,TRUE,TRUE,340,1,1000,single-firm,TRUE,count firms with [color = yellow],319,62,319,250.5820896,200,246,129,933,317.9900498,200,0.917658142,0.659638737,1.035402759,0.9383525,200,4.763437833,-13.3736591,4.763437833,-5.872216597,200
17,TRUE,TRUE,360,1,1000,single-firm,TRUE,count firms with [color = yellow],343,76,343,307.1243781,200,222,105,815,223.1641791,200,0.949784255,0.797421313,1.025301333,0.981678746,200,13.33237174,-8.889123415,13.33237174,2.90034464,200
18,TRUE,TRUE,380,1,1000,single-firm,TRUE,count firms with [color = yellow],111,111,364,358.5621891,200,985,160,985,258.159204,200,0.822304208,0.822304208,0.982209003,0.919154226,200,10.75595254,-0.468428535,10.75595254,6.692916628,200
19,TRUE,TRUE,400,1,1000,single-firm,TRUE,count firms with [color = yellow],390,17,394,337.8855721,200,96,39,433,121.2587065,200,1.883390801,1.159099103,1.883390801,1.520761517,200,44.85772118,3.17230879,44.85772118,22.84953801,200
